テーマコード,大テーマ,テーマ
316004,マーケティング計画と市場調査,市場調査の意義と方法（市場調査の目的、対象領域、種類、プロセス）
317001,消費者行動,消費者行動の決定要素とプロセス（基本的決定要素と環境的決定要素、消費者行動のモデル）
317002,消費者行動,心理的決定要素（ニーズ、動機付け、態度、学習、パーソナリティ）
317003,消費者行動,社会的決定要素（家族、準拠集団、社会階層、文化）
317004,消費者行動,意思決定（評価基準、ブランド選定の規則）
318001,製品計画,製品の意義（製品の定義、製品の種類：消費者用品（最寄り品、買回り品、専門品）・産業用品（原材料、主要設備品、補助設備品、構成部品、加工材料、業務用消耗品、業務サービス））
318002,製品計画,プロダクト・ミックス（定義、プロダクト・ラインの幅と深さ）
318003,製品計画,ブランド計画（ブランドの利点、種類、ブランド・ネーム、マルチブランド、ブランド・ポジション）
318004,製品計画,パッケージング計画（意義、目的、開発）
319001,製品開発,市場性評価（市場動向分析、競合分析）
319002,製品開発,マーチャンダイジング（製品企画・仕様・デザイン、製品技術・製造コスト、テストマーケティング、製造計画、商業化（市場化）計画）
320001,価格計画,価格計画の目的と設定要因（価格目的、価格決定の検討要因、価格決定プロセス）
320002,価格計画,価格政策（開拓的価格政策、心理的価格政策、販売促進的価格政策）
320003,価格計画,価格決定（費用志向的価格決定、競争志向的価格決定、小売価格の決定、製造業における価格調整）
321001,流通チャネルと物流,流通チャネルの機能と種類（チャネルの目的、機能、チャネル統合、チャネルの種類）
321002,流通チャネルと物流,流通チャネル政策（開放的流通チャネル、選択的流通チャネル、専属的流通チャネル、流通チャネルの評価と管理）
321003,流通チャネルと物流,物流（受注処理、物資の取扱い、保管、在庫管理、輸送、サプライチェーン・マネジメント）
322001,プロモーション,プロモーション政策（プロモーション・ミックス、プッシュ政策、プル政策、プロモーション戦略とプロモーション政策（プロモーション・ミックス、プッシュ政策、プル政策、プロモーション戦略と製品ライフサイクル）
322002,プロモーション,人的販売（役割、販売員の種類、進め方、販売員管理）
322003,プロモーション,広告（広告の定義、種類、広告計画、媒体計画、広告表現）
322004,プロモーション,販売促進（目的、種類、消費者向け：サンプリング・プレミアム・クーポン・教育・コンテスト・スタンプ、流通業者向け：ディーラーコンテスト・ヘルプス・販売助成・報奨金・プレミアム・特別出荷、社内向け：実施プログラム、関係法規：景品表示法　等）
322005,プロモーション,PR（内容、必要性、使用媒体、方法、パブリシティ）
323001,応用マーケティング,関係性マーケティング
323002,応用マーケティング,顧客関係性管理（CRM）
323003,応用マーケティング,サービス・マーケティング
323004,応用マーケティング,ダイレクト・マーケティング
324001,その他マーケティング論に関する事項,その他マーケティング論に関する事項
